StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Cconsent,age,days,Ctime,genre,genre_8_TEXT,shorts_days,shorts_time,malleable_1,malleable_2,malleable_3,malleable_4,favorite,homophily_appear_1,homophily_appear_2,homophily_appear_3,homophily_appear_4,homophily_appear_5,homophily_behave_1,homophily_behave_2,homophily_behave_3,homophily_behave_4,homophily_behave_5,homophily_behave_6,parasocial_1,parasocial_2,parasocial_3,parasocial_4,parasocial_5,outgroup_freq,outgroup_simple,regularities_1,regularities_2,regularities_3,regularities_4,regularities_5,regularities_6,regularities_7,friend,opp,gc,term,Q_BallotBoxStuffing,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RecaptchaScore,Q_RelevantIDFraudScore,Q_CHL,expected_ir,expected_loi,Country,expected_n,tg,transaction_id,SVID,PS
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"In this project, I want to learn more about how kids your age make sense of things. I have an activity that you can do today to help with my project. 

If you want to do this activity, there are no right or wrong answers. It is OK if you decide to help us, and it is also OK if you don’t want to and say “no.” Your parent said it was OK for you to be in this project, but now it is up to you. If you don’t want to do this activity, you don’t have to. 

Do you want to participate in this activity?","How old are you, in years?",How often do you use YouTube each week?,"When you use YouTube, how much time do you usually spend on YouTube?",What kinds of videos do you watch the most? - Selected Choice,What kinds of videos do you watch the most? - Other - Text,How often do you watch YouTube Shorts each week?,"When you use YouTube Shorts, how much time do you usually spend on YouTube Shorts?","In this part, we want you to think about groups of people who have a different skin color than you do. - These groups of people can’t really change the way they act.","In this part, we want you to think about groups of people who have a different skin color than you do. - These groups of people might change the way they act, but the important parts of who they are can’t really be changed.","In this part, we want you to think about groups of people who have a different skin color than you do. - If these groups of people do violent things, they can never change their ways.","In this part, we want you to think about groups of people who have a different skin color than you do. - Every group of people has basic moral beliefs that can’t really be changed.",Think of your favorite YouTuber. Write their name below!,Imagine your favorite YouTuber as you answer the following questions. - This person looks similar to me.,Imagine your favorite YouTuber as you answer the following questions. - This person has an appearance like mine.,Imagine your favorite YouTuber as you answer the following questions. - This person has a similar skin color to mine.,Imagine your favorite YouTuber as you answer the following questions. - This person wears similar clothes to mine.,Imagine your favorite YouTuber as you answer the following questions. - This person has similar hair to mine.,Imagine your favorite YouTuber as you answer the following questions. - My favorite YouTuber thinks like me.,Imagine your favorite YouTuber as you answer the following questions. - I like to compare my ideas with what my favorite YouTuber says.,Imagine your favorite YouTuber as you answer the following questions. - My favorite YouTuber behaves like me.,Imagine your favorite YouTuber as you answer the following questions. - My favorite YouTuber is similar to me.,"Imagine your favorite YouTuber as you answer the following questions. - If you are reading, choose ""Agree.""",Imagine your favorite YouTuber as you answer the following questions. - My favorite YouTuber has the same interests as me.,Imagine your favorite YouTuber as you answer the following questions. - I think my favorite YouTuber could be a friend of mine.,"Imagine your favorite YouTuber as you answer the following questions. - If I met my favorite YouTuber, we would get along well.",Imagine your favorite YouTuber as you answer the following questions. - My favorite YouTuber would fit into my friend group.,Imagine your favorite YouTuber as you answer the following questions. - I would like to have a friendly chat with my favorite YouTuber.,Imagine your favorite YouTuber as you answer the following questions. - I like to compare my ideas with what my favorite YouTuber says.,"On YouTube, how often do you watch videos with people with a different skin color than you?","When you watch videos on YouTube, are there more people in the videos who do have the same skin color as you, or more people who do not have the same skin color as you?","On YouTube, when I see videos of people who do not have the same skin color as me... - ... they are mean to the other people in the video.","On YouTube, when I see videos of people who do not have the same skin color as me... - ... they hurt other people in the video.","On YouTube, when I see videos of people who do not have the same skin color as me... - ... they are nice to other people in the video.","On YouTube, when I see videos of people who do not have the same skin color as me... - ... they use bad or inappropriate words.","On YouTube, when I see videos of people who do not have the same skin color as me... - ... I am able to learn new things from them.","On YouTube, when I see videos of people who do not have the same skin color as me... - ... they act like other people who look like them.","On YouTube, when I see videos of people who do not have the same skin color as me... - ... when they are around other people, they are a leader.",Imagine that you have one seat left at your lunch table. Which of the kids below would you invite to sit at your table?,opp,gc,term,Q_BallotBoxStuffing,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RecaptchaScore,Q_RelevantIDFraudScore,Q_CHL,expected_ir,expected_loi,Country,expected_n,tg,transaction_id,SVID,PS
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID17""}","{""ImportId"":""QID23_TEXT""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID10""}","{""ImportId"":""QID10_8_TEXT""}","{""ImportId"":""QID20""}","{""ImportId"":""QID22""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID4_2""}","{""ImportId"":""QID4_3""}","{""ImportId"":""QID4_4""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID7_2""}","{""ImportId"":""QID7_4""}","{""ImportId"":""QID7_6""}","{""ImportId"":""QID7_5""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID12_2""}","{""ImportId"":""QID12_3""}","{""ImportId"":""QID12_4""}","{""ImportId"":""QID12_5""}","{""ImportId"":""QID12_6""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID8_2""}","{""ImportId"":""QID8_3""}","{""ImportId"":""QID8_4""}","{""ImportId"":""QID8_5""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID13_2""}","{""ImportId"":""QID13_3""}","{""ImportId"":""QID13_4""}","{""ImportId"":""QID13_5""}","{""ImportId"":""QID13_6""}","{""ImportId"":""QID13_7""}","{""ImportId"":""QID19""}","{""ImportId"":""opp""}","{""ImportId"":""gc""}","{""ImportId"":""term""}","{""ImportId"":""Q_BallotBoxStuffing""}","{""ImportId"":""Q_RelevantIDDuplicate""}","{""ImportId"":""Q_RelevantIDDuplicateScore""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""Q_RelevantIDFraudScore""}","{""ImportId"":""Q_CHL""}","{""ImportId"":""expected_ir""}","{""ImportId"":""expected_loi""}","{""ImportId"":""Country""}","{""ImportId"":""expected_n""}","{""ImportId"":""tg""}","{""ImportId"":""transaction_id""}","{""ImportId"":""SVID""}","{""ImportId"":""PS""}"
2025-03-12 16:19:31,2025-03-12 16:22:26,IP Address,,100,174,True,2025-03-12 16:22:26,R_7VgNwr8N1BgGmSc,,,,,,,anonymous,EN,YES,12,5 days,30 minutes or less,Crafts/do-it-yourself (DIY),,Never,,Really disagree,Really disagree,Really disagree,Really disagree,Moriah Elizabeth,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,,,,,,,,,,,,,,,,Qual32042-1126-Children8to13[AD]_Child,2,Attention Check,,,,,,anonymous,.70,10,USA,220,2,,,
2025-03-12 16:22:46,2025-03-12 16:25:01,IP Address,98.223.211.159,100,135,True,2025-03-12 16:25:02,R_7G99M977N6CgYMy,,,,,41.9409,-87.6532,anonymous,EN,YES,12,7 days,,,,,,Really disagree,Really disagree,Really disagree,Really disagree,Moriah Elizabeth,Really disagree,Disagree,I don't know,Agree,Really agree,Disagree,Disagree,Disagree,Disagree,Agree,Really agree,Really agree,Agree,I don't know,Disagree,Really disagree,Rarely,More people who DO have the same skin color as me,Really agree,Agree,Neither agree nor disagree,Disagree,Really disagree,Disagree,Neither agree nor disagree,Kid 2,Qual32042-1126-Children8to13[AD]_Child,1,,,,,,,anonymous,.70,10,USA,220,,,,
2025-03-13 16:06:25,2025-03-13 16:07:02,IP Address,,100,36,True,2025-03-13 16:07:02,R_3QsArWp1GjIEQkc,,,,,,,anonymous,EN,YES,12,7 days,,,,,,,,,,test,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,,,,,,,,,,,,,,,,Qual32042-1126-Children8to13[AD]_Child,2,Attention Check,,,,,,anonymous,.70,10,USA,220,2,,,
2025-03-13 16:07:06,2025-03-13 16:10:10,IP Address,98.223.211.159,100,183,True,2025-03-13 16:10:10,R_7Mk71Ytd7CQaZ4R,,,,,41.9409,-87.6532,anonymous,EN,YES,12,7 days,,,,,,Really disagree,Really disagree,Really disagree,Really disagree,Moriah Elizabeth,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,I don't know,I don't know,Agree,Really agree,Agree,Agree,Agree,Agree,Agree,Sometimes,More people who DO have the same skin color as me,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Kid 10,Qual32042-1126-Children8to13[AD]_Child,1,,,,,,,anonymous,.70,10,USA,220,,,,
2025-03-14 15:04:24,2025-03-14 15:06:31,Survey Preview,,100,126,True,2025-03-14 15:06:32,R_5CC2209jQdqOGI8,,,,,,,preview,EN,YES,8,6 days,2 hours or less,Sports,,7 days,45 minutes or less,,,,,,,,,,,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,,,,,,,,,,,,,,,,Qual32042-1126-Children8to13[AD]_Child,2,Attention Check,,,,,,preview,.70,10,USA,220,2,,,
2025-03-17 10:01:22,2025-03-17 10:11:14,IP Address,50.104.14.209,100,592,True,2025-03-17 10:11:15,R_3Lisssmw2E8rc9l,,,,,39.6421,-85.1439,anonymous,EN,YES,13,7 days,2 hours or less,Makeup/Fashion,,7 days,30 minutes or less,Disagree,Really agree,Really disagree,Disagree,slushy noobs,Really disagree,Really disagree,Agree,Agree,Really disagree,Really agree,I don't know,Really agree,Agree,Agree,Really agree,I don't know,Agree,Disagree,I don't know,Disagree,Often,I don't know,Disagree,Disagree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Kid 2,Qual32042-1126-Children8to13[AD]_Child_New,1,,,,,,,anonymous,.70,10,USA,220,,5RXEkxgVFUpfpKCU6nH922,36661704,1449
2025-03-17 10:12:22,2025-03-17 10:25:43,IP Address,74.62.33.162,100,800,True,2025-03-17 10:25:44,R_9MwNQRPM6GQNxgR,,,,,33.9573,-118.3118,anonymous,EN,YES,6,3 days,1.5 hours or less,Gaming/Let's Play,,3 days,45 minutes or less,Disagree,Really disagree,Really disagree,Disagree,shannon sharpe,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,I don't know,Agree,Agree,I don't know,Agree,Agree,Really agree,Agree,Agree,Really agree,Really agree,Often,More people who DO NOT have the same skin color as me,Really disagree,Really disagree,Agree,Really disagree,Really agree,Really agree,Agree,Kid 4,Qual32042-1126-Children8to13[AD]_Child_New,1,,,,,,,anonymous,.70,10,USA,220,,7G6byDKay1rqUOZDzJ2Fcc,36661704,1449
2025-03-17 10:23:25,2025-03-17 10:27:29,IP Address,172.58.151.1,100,243,True,2025-03-17 10:27:29,R_1e4iaQWgxJJhbG0,,,,,36.0711,-86.7196,anonymous,EN,YES,9,7 days,1 hour or less,Gaming/Let's Play,,7 days,1 hour or less,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Regina,Agree,Agree,Agree,Disagree,Really disagree,I don't know,Agree,Disagree,Agree,Agree,Agree,Really agree,Agree,Agree,Really agree,Agree,Often,I don't know,Disagree,Disagree,Agree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Kid 2,Qual32042-1126-Children8to13[AD]_Child_New,1,,,,,,,anonymous,.70,10,USA,220,,7jPvgsCOtrFewxjG4DifS3,36661704,1449
2025-03-17 10:31:48,2025-03-17 10:34:05,IP Address,70.15.193.10,100,137,True,2025-03-17 10:34:06,R_3lhFQUx96mZkIXD,,,,,41.0168,-75.8971,anonymous,EN,YES,11,7 days,2 hours or less,Vlogs,,3 days,45 minutes or less,Really disagree,Agree,Really disagree,Agree,stokes twins,Disagree,Disagree,Disagree,Agree,Disagree,Agree,I don't know,Agree,Really agree,Agree,I don't know,Agree,I don't know,Agree,Really agree,Disagree,Sometimes,More people who DO have the same skin color as me,Really disagree,Disagree,Agree,Agree,Agree,Neither agree nor disagree,Disagree,Kid 5,Qual32042-1126-Children8to13[AD]_Child_New,1,,,,,,,anonymous,.70,10,USA,220,,2U4QW1TLikKdksb8nyKUze,36661704,1449
2025-03-17 10:48:00,2025-03-17 10:51:43,IP Address,173.224.27.78,100,222,True,2025-03-17 10:51:44,R_5bTweSCVQ6LSrCj,,,,,42.6225,-97.2645,anonymous,EN,YES,13,7 days,1 hour or less,Gaming/Let's Play,,7 days,45 minutes or less,Really agree,Agree,Neither agree nor disagree,Agree,bill,Really agree,Really agree,Really agree,Really agree,Really agree,Really agree,Agree,Agree,Really agree,Agree,Really agree,Agree,Agree,Agree,Agree,Agree,Very often,More people who DO NOT have the same skin color as me,Really agree,Agree,Agree,Agree,Really agree,Agree,Agree,Kid 6,Qual32042-1126-Children8to13[AD]_Child_New,1,,,,,,,anonymous,.70,10,USA,220,,1SAgl8mZPpuL1XhCCIx1wx,36661704,1449
2025-03-17 10:47:26,2025-03-17 10:52:26,IP Address,166.198.252.25,100,300,True,2025-03-17 10:52:26,R_3hDLJU5tgf7OraV,,,,,47.6109,-122.3303,anonymous,EN,YES,12,7 days,2 hours or less,Crafts/do-it-yourself (DIY),,7 days,2 hours or less,Agree,Agree,Disagree,Agree,"I have a lot ",Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Sometimes,I don't know,Disagree,Disagree,Really agree,Disagree,Really agree,Agree,Agree,Kid 4,Qual32042-1126-Children8to13[AD]_Child_New,1,,,,,,,anonymous,.70,10,USA,220,,1ti4cTeJS5DE0w3GYnx3Ia,36661704,1449
2025-03-17 11:10:34,2025-03-17 11:12:04,IP Address,107.77.216.209,100,89,True,2025-03-17 11:12:04,R_116gfdWpAQh9Hnp,,,,,25.9562,-80.1828,anonymous,EN,YES,8,5 days,45 minutes or less,Educational,,3 days,30 minutes or less,Really agree,Agree,Really agree,Really agree,Mr.Beast,Really agree,Agree,Really agree,Really agree,Really agree,Really agree,Agree,Really agree,Really agree,Agree,Really agree,Really agree,Agree,Really agree,Really agree,Agree,Very often,More people who DO have the same skin color as me,Really agree,Agree,Really agree,Really agree,Agree,Really agree,Really agree,Kid 9,Qual32042-1126-Children8to13[AD]_Child_New,1,,,,,,,anonymous,.70,10,USA,220,,6IEgH3fRxBHzy9zN6cX9UY,36661704,1449
2025-03-17 11:08:34,2025-03-17 11:12:46,IP Address,172.56.218.112,100,251,True,2025-03-17 11:12:46,R_5ByfQDYOI4nX2ev,,,,,40.0149,-75.1439,anonymous,EN,YES,12,7 days,30 minutes or less,Makeup/Fashion,,7 days,45 minutes or less,Really agree,Really agree,Agree,Agree,Joe smith,Really agree,Really agree,Really agree,Really agree,Really agree,Really agree,Agree,Really agree,Really agree,Agree,Really agree,Really agree,Agree,Really agree,Agree,Agree,Very often,More people who DO have the same skin color as me,Really agree,Agree,Really agree,Really agree,Really agree,Agree,Agree,Kid 8,Qual32042-1126-Children8to13[AD]_Child_New,1,,,,,,,anonymous,.70,10,USA,220,,2iuKI86nunNY14iV0xcaIP,36661704,1449
2025-03-17 11:20:01,2025-03-17 11:23:34,IP Address,76.143.88.165,100,213,True,2025-03-17 11:23:34,R_6iqaxE56PeGuZJF,,,,,29.7009,-95.5885,anonymous,EN,YES,14,7 days,More than 2 hours,Gaming/Let's Play,,7 days,More than 2 hours,Really disagree,Really agree,Really agree,Really agree,"Kai Cenat ",Really agree,Really agree,Really agree,Really agree,Really agree,Really agree,Really agree,Really agree,Really agree,Agree,Really agree,Really agree,Really agree,Really agree,Really agree,Really agree,Never,More people who DO have the same skin color as me,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Kid 4,Qual32042-1126-Children8to13[AD]_Child_New,1,,,,,,,anonymous,.70,10,USA,220,,7t7REJIlln5x1NKF0gIlJF,36661704,1449
2025-03-17 11:22:59,2025-03-17 11:27:10,IP Address,216.220.250.215,100,250,True,2025-03-17 11:27:11,R_795fLw7p9KWOLPX,,,,,43.8856,-70.3317,anonymous,EN,YES,13,6 days,2 hours or less,Sports,,2 days,15 minutes or less,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Ab camping,I don't know,Disagree,I don't know,I don't know,Disagree,Disagree,Disagree,Disagree,I don't know,Agree,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,Often,I don't know,Disagree,Disagree,Agree,Disagree,Neither agree nor disagree,Agree,Agree,Kid 2,Qual32042-1126-Children8to13[AD]_Child_New,1,,,,,,,anonymous,.70,10,USA,220,,7px1fHsF5EllnfpadV28JZ,36661704,1449
2025-03-17 11:32:32,2025-03-17 11:34:33,IP Address,,100,121,True,2025-03-17 11:34:34,R_77FG8jnL3gTBByV,,,,,,,anonymous,EN,YES,10,5 days,2 hours or less,,,3 days,2 hours or less,Really agree,Agree,Agree,Really agree,"I know of many YouTubers who are widely loved for their creativity and content. For example, MrBeast is famous for his philanthropic and entertaining videos",Really agree,Agree,Agree,Really agree,Really agree,Really agree,Agree,I don't know,Agree,Really agree,Really agree,,,,,,,,,,,,,,,,Qual32042-1126-Children8to13[AD]_Child_New,2,Attention Check,,,,,,anonymous,.70,10,USA,220,2,7inG1Mdwfa2QRiUddAcs4H,36661704,1449
2025-03-17 11:31:16,2025-03-17 11:35:34,IP Address,136.50.92.162,100,257,True,2025-03-17 11:35:34,R_6Ol6fzaOF5AQ4qn,,,,,29.5,-98.6744,anonymous,EN,YES,9,7 days,2 hours or less,Gaming/Let's Play,,7 days,1.5 hours or less,Agree,Agree,Disagree,Agree,A for adley,Agree,I don't know,Agree,Agree,Disagree,I don't know,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Often,I don't know,Disagree,Disagree,Disagree,Disagree,Agree,Neither agree nor disagree,Agree,Kid 4,Qual32042-1126-Children8to13[AD]_Child_New,1,,,,,,,anonymous,.70,10,USA,220,,7JAYVtnCKWiqro22b0QMJy,36661704,1449
2025-03-17 11:38:24,2025-03-17 11:39:59,IP Address,76.250.140.205,100,95,True,2025-03-17 11:40:00,R_76kTIWtEoLcu8ce,,,,,42.9923,-87.9932,anonymous,EN,YES,13,7 days,More than 2 hours,Educational,,7 days,2 hours or less,Agree,Really agree,Agree,Really agree,Joni,Really agree,Agree,Really agree,Agree,Really agree,Agree,Really agree,Agree,Really agree,Agree,Really agree,Agree,Really agree,Agree,Really agree,Agree,Very often,More people who DO have the same skin color as me,Agree,Really agree,Agree,Really agree,Agree,Really agree,Agree,Kid 8,Qual32042-1126-Children8to13[AD]_Child_New,1,,,,,,,anonymous,.70,10,USA,220,,3Y93qIEHL28mkJkqYyJFaJ,36661704,1449
2025-03-17 11:47:31,2025-03-17 11:49:05,IP Address,,100,94,True,2025-03-17 11:49:06,R_15R6XizcdusoD6b,,,,,,,anonymous,EN,YES,14,7 days,More than 2 hours,Crafts/do-it-yourself (DIY),,7 days,More than 2 hours,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,"I don't know ",I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,,,,,,,,,,,,,,,Qual32042-1126-Children8to13[AD]_Child_New,2,Attention Check,,,,,,anonymous,.70,10,USA,220,2,1l3Sn3wBT1JhN5nuuThIHx,36661704,1449
