StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Cconsent,age,days,Ctime,genre,genre_8_TEXT,shorts_days,shorts_time,malleable_1,malleable_2,malleable_3,malleable_4,favorite,homophily_appear_1,homophily_appear_2,homophily_appear_3,homophily_appear_4,homophily_appear_5,homophily_behave_1,homophily_behave_2,homophily_behave_3,homophily_behave_4,homophily_behave_5,homophily_behave_6,parasocial_1,parasocial_2,parasocial_3,parasocial_4,parasocial_5,outgroup_freq,outgroup_simple,regularities_1,regularities_2,regularities_3,regularities_4,regularities_5,regularities_6,regularities_7,friend,opp,gc,term,Q_BallotBoxStuffing,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RecaptchaScore,Q_RelevantIDFraudScore,Q_CHL,expected_ir,expected_loi,Country,expected_n,tg,transaction_id,SVID,PS
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,"In this project, I want to learn more about how kids your age make sense of things. I have an activity that you can do today to help with my project. 

If you want to do this activity, there are no right or wrong answers. It is OK if you decide to help us, and it is also OK if you don’t want to and say “no.” Your parent said it was OK for you to be in this project, but now it is up to you. If you don’t want to do this activity, you don’t have to. 

Do you want to participate in this activity?","How old are you, in years?",How often do you use YouTube each week?,"When you use YouTube, how much time do you usually spend on YouTube?",What kinds of videos do you watch the most? - Selected Choice,What kinds of videos do you watch the most? - Other - Text,How often do you watch YouTube Shorts each week?,"When you use YouTube Shorts, how much time do you usually spend on YouTube Shorts?","In this part, we want you to think about groups of people who have a different skin color than you do. - These groups of people can’t really change the way they act.","In this part, we want you to think about groups of people who have a different skin color than you do. - These groups of people might change the way they act, but the important parts of who they are can’t really be changed.","In this part, we want you to think about groups of people who have a different skin color than you do. - If these groups of people do violent things, they can never change their ways.","In this part, we want you to think about groups of people who have a different skin color than you do. - Every group of people has basic moral beliefs that can’t really be changed.",Think of your favorite YouTuber. Write their name below!,Imagine your favorite YouTuber as you answer the following questions. - This person looks similar to me.,Imagine your favorite YouTuber as you answer the following questions. - This person has an appearance like mine.,Imagine your favorite YouTuber as you answer the following questions. - This person has a similar skin color to mine.,Imagine your favorite YouTuber as you answer the following questions. - This person wears similar clothes to mine.,Imagine your favorite YouTuber as you answer the following questions. - This person has similar hair to mine.,Imagine your favorite YouTuber as you answer the following questions. - My favorite YouTuber thinks like me.,Imagine your favorite YouTuber as you answer the following questions. - I like to compare my ideas with what my favorite YouTuber says.,Imagine your favorite YouTuber as you answer the following questions. - My favorite YouTuber behaves like me.,Imagine your favorite YouTuber as you answer the following questions. - My favorite YouTuber is similar to me.,"Imagine your favorite YouTuber as you answer the following questions. - If you are reading, choose ""Agree.""",Imagine your favorite YouTuber as you answer the following questions. - My favorite YouTuber has the same interests as me.,Imagine your favorite YouTuber as you answer the following questions. - I think my favorite YouTuber could be a friend of mine.,"Imagine your favorite YouTuber as you answer the following questions. - If I met my favorite YouTuber, we would get along well.",Imagine your favorite YouTuber as you answer the following questions. - My favorite YouTuber would fit into my friend group.,Imagine your favorite YouTuber as you answer the following questions. - I would like to have a friendly chat with my favorite YouTuber.,Imagine your favorite YouTuber as you answer the following questions. - I like to compare my ideas with what my favorite YouTuber says.,"On YouTube, how often do you watch videos with people with a different skin color than you?","When you watch videos on YouTube, are there more people in the videos who do have the same skin color as you, or more people who do not have the same skin color as you?","On YouTube, when I see videos of people who do not have the same skin color as me... - ... they are mean to the other people in the video.","On YouTube, when I see videos of people who do not have the same skin color as me... - ... they hurt other people in the video.","On YouTube, when I see videos of people who do not have the same skin color as me... - ... they are nice to other people in the video.","On YouTube, when I see videos of people who do not have the same skin color as me... - ... they use bad or inappropriate words.","On YouTube, when I see videos of people who do not have the same skin color as me... - ... I am able to learn new things from them.","On YouTube, when I see videos of people who do not have the same skin color as me... - ... they act like other people who look like them.","On YouTube, when I see videos of people who do not have the same skin color as me... - ... when they are around other people, they are a leader.",Imagine that you have one seat left at your lunch table. Which of the kids below would you invite to sit at your table?,opp,gc,term,Q_BallotBoxStuffing,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RecaptchaScore,Q_RelevantIDFraudScore,Q_CHL,expected_ir,expected_loi,Country,expected_n,tg,transaction_id,SVID,PS
3/12/25 16:22,3/12/25 16:25,IP Address,100,135,True,3/12/25 16:25,R_7G99M977N6CgYMy,anonymous,EN,YES,12,7 days,,,,,,Really disagree,Really disagree,Really disagree,Really disagree,Moriah Elizabeth,Really disagree,Disagree,I don't know,Agree,Really agree,Disagree,Disagree,Disagree,Disagree,Agree,Really agree,Really agree,Agree,I don't know,Disagree,Really disagree,Rarely,More people who DO have the same skin color as me,Really agree,Agree,Neither agree nor disagree,Disagree,Really disagree,Disagree,Neither agree nor disagree,Kid 2,Qual32042-1126-Children8to13[AD]_Child,1,,,,,,,anonymous,.70,10,USA,220,,,,
3/13/25 16:07,3/13/25 16:10,IP Address,100,183,True,3/13/25 16:10,R_7Mk71Ytd7CQaZ4R,anonymous,EN,YES,12,7 days,,,,,,Really disagree,Really disagree,Really disagree,Really disagree,Moriah Elizabeth,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,I don't know,I don't know,Agree,Really agree,Agree,Agree,Agree,Agree,Agree,Sometimes,More people who DO have the same skin color as me,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Kid 10,Qual32042-1126-Children8to13[AD]_Child,1,,,,,,,anonymous,.70,10,USA,220,,,,
3/17/25 10:01,3/17/25 10:11,IP Address,100,592,True,3/17/25 10:11,R_3Lisssmw2E8rc9l,anonymous,EN,YES,13,7 days,2 hours or less,Makeup/Fashion,,7 days,30 minutes or less,Disagree,Really agree,Really disagree,Disagree,slushy noobs,Really disagree,Really disagree,Agree,Agree,Really disagree,Really agree,I don't know,Really agree,Agree,Agree,Really agree,I don't know,Agree,Disagree,I don't know,Disagree,Often,I don't know,Disagree,Disagree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Kid 2,Qual32042-1126-Children8to13[AD]_Child_New,1,,,,,,,anonymous,.70,10,USA,220,,5RXEkxgVFUpfpKCU6nH922,36661704,1449
3/17/25 10:12,3/17/25 10:25,IP Address,100,800,True,3/17/25 10:25,R_9MwNQRPM6GQNxgR,anonymous,EN,YES,6,3 days,1.5 hours or less,Gaming/Let's Play,,3 days,45 minutes or less,Disagree,Really disagree,Really disagree,Disagree,shannon sharpe,Really disagree,Really disagree,Really disagree,Really disagree,Really disagree,I don't know,Agree,Agree,I don't know,Agree,Agree,Really agree,Agree,Agree,Really agree,Really agree,Often,More people who DO NOT have the same skin color as me,Really disagree,Really disagree,Agree,Really disagree,Really agree,Really agree,Agree,Kid 4,Qual32042-1126-Children8to13[AD]_Child_New,1,,,,,,,anonymous,.70,10,USA,220,,7G6byDKay1rqUOZDzJ2Fcc,36661704,1449
3/17/25 10:23,3/17/25 10:27,IP Address,100,243,True,3/17/25 10:27,R_1e4iaQWgxJJhbG0,anonymous,EN,YES,9,7 days,1 hour or less,Gaming/Let's Play,,7 days,1 hour or less,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Regina,Agree,Agree,Agree,Disagree,Really disagree,I don't know,Agree,Disagree,Agree,Agree,Agree,Really agree,Agree,Agree,Really agree,Agree,Often,I don't know,Disagree,Disagree,Agree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Kid 2,Qual32042-1126-Children8to13[AD]_Child_New,1,,,,,,,anonymous,.70,10,USA,220,,7jPvgsCOtrFewxjG4DifS3,36661704,1449
3/17/25 10:31,3/17/25 10:34,IP Address,100,137,True,3/17/25 10:34,R_3lhFQUx96mZkIXD,anonymous,EN,YES,11,7 days,2 hours or less,Vlogs,,3 days,45 minutes or less,Really disagree,Agree,Really disagree,Agree,stokes twins,Disagree,Disagree,Disagree,Agree,Disagree,Agree,I don't know,Agree,Really agree,Agree,I don't know,Agree,I don't know,Agree,Really agree,Disagree,Sometimes,More people who DO have the same skin color as me,Really disagree,Disagree,Agree,Agree,Agree,Neither agree nor disagree,Disagree,Kid 5,Qual32042-1126-Children8to13[AD]_Child_New,1,,,,,,,anonymous,.70,10,USA,220,,2U4QW1TLikKdksb8nyKUze,36661704,1449
3/17/25 10:48,3/17/25 10:51,IP Address,100,222,True,3/17/25 10:51,R_5bTweSCVQ6LSrCj,anonymous,EN,YES,13,7 days,1 hour or less,Gaming/Let's Play,,7 days,45 minutes or less,Really agree,Agree,Neither agree nor disagree,Agree,bill,Really agree,Really agree,Really agree,Really agree,Really agree,Really agree,Agree,Agree,Really agree,Agree,Really agree,Agree,Agree,Agree,Agree,Agree,Very often,More people who DO NOT have the same skin color as me,Really agree,Agree,Agree,Agree,Really agree,Agree,Agree,Kid 6,Qual32042-1126-Children8to13[AD]_Child_New,1,,,,,,,anonymous,.70,10,USA,220,,1SAgl8mZPpuL1XhCCIx1wx,36661704,1449
3/17/25 10:47,3/17/25 10:52,IP Address,100,300,True,3/17/25 10:52,R_3hDLJU5tgf7OraV,anonymous,EN,YES,12,7 days,2 hours or less,Crafts/do-it-yourself (DIY),,7 days,2 hours or less,Agree,Agree,Disagree,Agree,I have a lot ,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Sometimes,I don't know,Disagree,Disagree,Really agree,Disagree,Really agree,Agree,Agree,Kid 4,Qual32042-1126-Children8to13[AD]_Child_New,1,,,,,,,anonymous,.70,10,USA,220,,1ti4cTeJS5DE0w3GYnx3Ia,36661704,1449
3/17/25 11:10,3/17/25 11:12,IP Address,100,89,True,3/17/25 11:12,R_116gfdWpAQh9Hnp,anonymous,EN,YES,8,5 days,45 minutes or less,Educational,,3 days,30 minutes or less,Really agree,Agree,Really agree,Really agree,Mr.Beast,Really agree,Agree,Really agree,Really agree,Really agree,Really agree,Agree,Really agree,Really agree,Agree,Really agree,Really agree,Agree,Really agree,Really agree,Agree,Very often,More people who DO have the same skin color as me,Really agree,Agree,Really agree,Really agree,Agree,Really agree,Really agree,Kid 9,Qual32042-1126-Children8to13[AD]_Child_New,1,,,,,,,anonymous,.70,10,USA,220,,6IEgH3fRxBHzy9zN6cX9UY,36661704,1449
