StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,Pconsent_self,gender,bday#1_1,bday#2_1,bday#3_1,race_ethnicity,P1ed,P2ed,income,city,state,device,device-type,account,ytkids,controls,controls_type,Pdays,Ptime,Ptime_9_TEXT,Pfavorite,observations,yt_opinions_1,yt_opinions_2,yt_opinions_3,yt_opinions_4,yt_opinions_5,concerns,Pconsent-child,opp,gc,term,Q_BallotBoxStuffing,Q_CHL,expected_ir,expected_loi,Country,expected_n,tg,transaction_id,SVID,PS,Child_age,Response
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,"Consent to Participate in Research

I have read this form and the research study has been explained to me. I have been given the opportunity to ask questions and my questions have been answered. If I have additional questions, I have been told whom to contact. I give my consent to participate in the research study described above.",Child's Gender Identity,What is your child's birthday? - Month - Please Select:,What is your child's birthday? - Day - Please Select:,What is your child's birthday? - Year - Please Select:,What is your child's race/ethnicity? (Please select any and all that apply),[Parent 1] What is the highest degree or level of education you have completed?,[Parent 2] What is the highest degree or level of education you have completed?,"Which of these categories best describes your total combined family income for the past 12 months?


This should include income (before taxes) from all sources, wages, rent from properties, social security, disability and/or veteran's benefits, unemployment benefits, workman's compensation, help from relatives (including child payments and alimony), and so on.","Where is your family located (City, eg: Chicago)?","Where is your family located (State, eg: NJ)?",Does your child have their own device?,What is the primary device with which your child accesses YouTube?,Does your child have their own YouTube account?,"If YES to previous question, is your child's account a YouTube Kids account?",Are there parental controls on your child's YouTube account?,"If YES to the previous question, what controls?","In an average week, how many days per week does your child use YouTube?","On an average day, how much time do you estimate your child spends on YouTube? - Selected Choice","On an average day, how much time do you estimate your child spends on YouTube? - Other - Text",Who is your child's favorite person or channel to watch on YouTube?,What do you notice about your child's behavior after spending time on YouTube? Is there anything you're concerned about? Is there anything that has surprised you?,"Use the scale to indicate how much you agree with the following statements: - I know what kind of content is popular on YouTube (e.g. particular creators, genres, videos, etc.)",Use the scale to indicate how much you agree with the following statements: - I am very involved in my child's YouTube usage.,Use the scale to indicate how much you agree with the following statements: - My child is learning a lot from educational information they have found on YouTube.,"Use the scale to indicate how much you agree with the following statements: - This is an attention check. Choose ""A lot.""",Use the scale to indicate how much you agree with the following statements: - I have positive feelings regarding YouTube and YouTube content.,"Some parents report concerns about the content they have observed on YouTube (such as stereotypes, violence, swearing, etc.). Have you experienced these concerns? If you can remember examples (of channels or videos), please describe them below.","Parental Permission for Child’s Participation in Research:
I have read this form and the research study has been explained to me. I have been given the opportunity to ask questions and my questions have been answered. If I have additional questions, I have been told whom to contact. I give permission for my child to participate in the research study described above.",opp,gc,term,Q_BallotBoxStuffing,Q_CHL,expected_ir,expected_loi,Country,expected_n,tg,transaction_id,SVID,PS,Child_age,Response
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""Q_RelevantIDDuplicate""}","{""ImportId"":""Q_RelevantIDDuplicateScore""}","{""ImportId"":""Q_RelevantIDFraudScore""}","{""ImportId"":""Q_RelevantIDLastStartDate"",""timeZone"":""UTC""}","{""ImportId"":""QID27""}","{""ImportId"":""QID2""}","{""ImportId"":""QID1#1_1""}","{""ImportId"":""QID1#2_1""}","{""ImportId"":""QID1#3_1""}","{""ImportId"":""QID18""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20_TEXT""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID30""}","{""ImportId"":""QID9""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""QID34""}","{""ImportId"":""QID5""}","{""ImportId"":""QID5_9_TEXT""}","{""ImportId"":""QID33_TEXT""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID15_2""}","{""ImportId"":""QID15_3""}","{""ImportId"":""QID15_4""}","{""ImportId"":""QID15_5""}","{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID23""}","{""ImportId"":""opp""}","{""ImportId"":""gc""}","{""ImportId"":""term""}","{""ImportId"":""Q_BallotBoxStuffing""}","{""ImportId"":""Q_CHL""}","{""ImportId"":""expected_ir""}","{""ImportId"":""expected_loi""}","{""ImportId"":""Country""}","{""ImportId"":""expected_n""}","{""ImportId"":""tg""}","{""ImportId"":""transaction_id""}","{""ImportId"":""SVID""}","{""ImportId"":""PS""}","{""ImportId"":""Child_age""}","{""ImportId"":""Response""}"
2025-03-12 16:10:46,2025-03-12 16:16:59,IP Address,,100,373,True,2025-03-12 16:17:00,R_3bTisTSXE0M0hZ7,,,,,,,anonymous,EN,1,,0,0,,Agree,Female,,,,White,Doctoral degree,"Bachelor's degree (e.g. BA, BS)","Less than $5,000",Chicago,IL,Yes,iPhone,No,No,No,TEST,5 days,1 hour or less,,Moriah Elizabeth,TEST,None at all,None at all,None at all,None at all,None at all,,,Qual32042-1126-Children8to13[AD]_Parent,2,Attention Check,,anonymous,.70,10,USA,220,2,,,,06/21/2012,
2025-03-17 09:28:07,2025-03-17 09:36:15,IP Address,,100,488,True,2025-03-17 09:36:16,R_7DWkUZTYKZUYo2R,,,,,,,anonymous,EN,1,,0,0,,Agree,Male,June,10,2015,White,"Bachelor's degree (e.g. BA, BS)","Bachelor's degree (e.g. BA, BS)","$100,000 or greater",Philadelphia,Pennsylvania,Yes,iPad tablet,No,No,Yes,"No- My Child Don't Have you tube Account ",4 days,30 minutes or less,,Mine,Just advice to see cartoon channel or Fun channel video,A great deal,A great deal,A great deal,A great deal,A great deal,,,Qual32042-1126-Children8to13[AD]_Parent_New,2,Attention Check,,anonymous,.70,10,USA,220,2,5CCyytjJcB5ucOo4hthMJQ,36661704,,,
2025-03-17 09:56:52,2025-03-17 10:01:21,IP Address,50.104.14.209,100,269,True,2025-03-17 10:01:22,R_1FkY4MLGzwlXRAN,,,,,39.6421,-85.1439,anonymous,EN,1,,0,10,,Agree,Female,January,14,2012,White,Some college,High school degree or equivalent,"$25,000 through $34,999",English,IN,Yes,iPhone,No,,No,,7 days,1.5 hours or less,,don't know,no,None at all,None at all,A little,A lot,A little,none,Agree,Qual32042-1126-Children8to13[AD]_Parent_New,,,,anonymous,.70,10,USA,220,,5RXEkxgVFUpfpKCU6nH922,36661704,1449,,Complete
2025-03-17 10:01:29,2025-03-17 10:08:02,IP Address,73.196.49.119,100,393,True,2025-03-17 10:08:03,R_6SCPHk3mpBGfXzy,,,,,39.8417,-75.0281,anonymous,EN,0.699999988079071,,0,0,,Agree,Female,October,10,2011,Hispanic or Latino/a,Some college,"Bachelor's degree (e.g. BA, BS)","$25,000 through $34,999","Salem ",NJ,Yes,iPad tablet,No,No,Yes,,5 days,2 hours or less,,"Don't know ","It's fine ",A great deal,A great deal,A lot,A lot,A moderate amount,"None ",Agree,Qual32042-1126-Children8to13[AD]_Parent_New,,,,anonymous,.70,10,USA,220,,17TCqxgRIyA3XxFSOJfXDF,36661704,1449,,Complete
2025-03-17 09:56:47,2025-03-17 10:12:20,IP Address,74.62.33.162,100,933,True,2025-03-17 10:12:22,R_9FKsNPmBq7jauw0,,,,,33.9573,-118.3118,anonymous,EN,1,,0,0,,Agree,Male,September,9,2018,White,"Bachelor's degree (e.g. BA, BS)",Some college,"$100,000 or greater",oceanside,ca,No,Android tablet,Yes,Yes,Yes,viewing,3 days,1.5 hours or less,,spiderman,he tries to act like spiderman,A moderate amount,A lot,A lot,A lot,A lot,"encountered inappropriate or age-inappropriate material, including violence and stereotyping",Agree,Qual32042-1126-Children8to13[AD]_Parent_New,,,,anonymous,.70,10,USA,220,,7G6byDKay1rqUOZDzJ2Fcc,36661704,1449,,Complete
2025-03-17 10:18:01,2025-03-17 10:23:25,IP Address,172.58.151.1,100,323,True,2025-03-17 10:23:25,R_6rGFqN2WgzXDsTY,,,,,36.0711,-86.7196,anonymous,EN,1,,0,0,,Agree,Female,April,17,2015,White,"Bachelor's degree (e.g. BA, BS)","Master's degree (e.g. MA, MS)","$75,000 through $99,999",Nashville,Tennessee,Yes,Android phone,Yes,Yes,No,,7 days,1.5 hours or less,,"Barbie ",more active mood,A lot,A moderate amount,A moderate amount,A lot,A lot,I haven't seen any content that wouldn't be suitable for a child.,Agree,Qual32042-1126-Children8to13[AD]_Parent_New,,,,anonymous,.70,10,USA,220,,7jPvgsCOtrFewxjG4DifS3,36661704,1449,,Complete
2025-03-17 10:27:01,2025-03-17 10:31:47,IP Address,70.15.193.10,100,286,True,2025-03-17 10:31:48,R_1ruC471CHB7kZdS,,,,,41.0168,-75.8971,anonymous,EN,1,,0,0,,Agree,Male,March,17,2014,White,High school degree or equivalent,High school degree or equivalent,"$16,000 through $24,999",Shenandoah,PA,Yes,Android tablet,Yes,Yes,Yes,a time limit,7 days,More than 2 hours,,stokes twins,sometimes he can become a bit fiesty and remabntcious after watching certain videos,A lot,A moderate amount,None at all,A lot,A great deal,i think some of the stuff is not appropriate for my childs age,Agree,Qual32042-1126-Children8to13[AD]_Parent_New,,,,anonymous,.70,10,USA,220,,2U4QW1TLikKdksb8nyKUze,36661704,1449,,Complete
2025-03-17 10:43:58,2025-03-17 10:47:25,IP Address,166.198.252.25,100,206,True,2025-03-17 10:47:26,R_1Lj4jAqWEnOg23f,,,,,47.6109,-122.3303,anonymous,EN,0.8999999761581421,,0,0,,Agree,Female,August,30,2012,"Hispanic or Latino/a,White",High school degree or equivalent,Less than high school,"$5,000 through $11,999","Umatilla ",Oregon,Yes,Android phone,No,No,No,,7 days,More than 2 hours,,Music,No,A great deal,A lot,A lot,A lot,A lot,No,Agree,Qual32042-1126-Children8to13[AD]_Parent_New,,,,anonymous,.70,10,USA,220,,1ti4cTeJS5DE0w3GYnx3Ia,36661704,1449,,Complete
