StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,Pconsent_self,gender,bday#1_1,bday#2_1,bday#3_1,race_ethnicity_1,race_ethnicity_2,race_ethnicity_3,race_ethnicity_4,race_ethnicity_5,race_ethnicity_6,race_ethnicity_7,race_ethnicity_8,race_ethnicity_9,P1ed,P2ed,income,city,state,device,device-type,account,ytkids,controls,controls_type,Pdays,Ptime,Ptime_9_TEXT,Pfavorite,observations,yt_opinions_1,yt_opinions_2,yt_opinions_3,yt_opinions_4,yt_opinions_5,concerns,Pconsent-child,opp,gc,term,Q_BallotBoxStuffing,Q_CHL,expected_ir,expected_loi,Country,expected_n,tg,transaction_id,SVID,PS,Child_age,Response
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,"Consent to Participate in Research

I have read this form and the research study has been explained to me. I have been given the opportunity to ask questions and my questions have been answered. If I have additional questions, I have been told whom to contact. I give my consent to participate in the research study described above.",Child's Gender Identity,What is your child's birthday? - Month - Please Select:,What is your child's birthday? - Day - Please Select:,What is your child's birthday? - Year - Please Select:,What is your child's race/ethnicity? (Please select any and all that apply) - American Indian or Alaska Native,What is your child's race/ethnicity? (Please select any and all that apply) - Asian,What is your child's race/ethnicity? (Please select any and all that apply) - Black or African American,What is your child's race/ethnicity? (Please select any and all that apply) - Hispanic or Latino/a,What is your child's race/ethnicity? (Please select any and all that apply) - Middle Eastern or North African,What is your child's race/ethnicity? (Please select any and all that apply) - Native Hawaiian or Other Pacific Islander,What is your child's race/ethnicity? (Please select any and all that apply) - White,What is your child's race/ethnicity? (Please select any and all that apply) - Some Other Race,What is your child's race/ethnicity? (Please select any and all that apply) - Multiracial,[Parent 1] What is the highest degree or level of education you have completed?,[Parent 2] What is the highest degree or level of education you have completed?,"Which of these categories best describes your total combined family income for the past 12 months?


This should include income (before taxes) from all sources, wages, rent from properties, social security, disability and/or veteran's benefits, unemployment benefits, workman's compensation, help from relatives (including child payments and alimony), and so on.","Where is your family located (City, eg: Chicago)?","Where is your family located (State, eg: NJ)?",Does your child have their own device?,What is the primary device with which your child accesses YouTube?,Does your child have their own YouTube account?,"If YES to previous question, is your child's account a YouTube Kids account?",Are there parental controls on your child's YouTube account?,"If YES to the previous question, what controls?","In an average week, how many days per week does your child use YouTube?","On an average day, how much time do you estimate your child spends on YouTube? - Selected Choice","On an average day, how much time do you estimate your child spends on YouTube? - Other - Text",Who is your child's favorite person or channel to watch on YouTube?,What do you notice about your child's behavior after spending time on YouTube? Is there anything you're concerned about? Is there anything that has surprised you?,"Use the scale to indicate how much you agree with the following statements: - I know what kind of content is popular on YouTube (e.g. particular creators, genres, videos, etc.)",Use the scale to indicate how much you agree with the following statements: - I am very involved in my child's YouTube usage.,Use the scale to indicate how much you agree with the following statements: - My child is learning a lot from educational information they have found on YouTube.,"Use the scale to indicate how much you agree with the following statements: - This is an attention check. Choose ""A lot.""",Use the scale to indicate how much you agree with the following statements: - I have positive feelings regarding YouTube and YouTube content.,"Some parents report concerns about the content they have observed on YouTube (such as stereotypes, violence, swearing, etc.). Have you experienced these concerns? If you can remember examples (of channels or videos), please describe them below.","Parental Permission for Child’s Participation in Research:
I have read this form and the research study has been explained to me. I have been given the opportunity to ask questions and my questions have been answered. If I have additional questions, I have been told whom to contact. I give permission for my child to participate in the research study described above.",opp,gc,term,Q_BallotBoxStuffing,Q_CHL,expected_ir,expected_loi,Country,expected_n,tg,transaction_id,SVID,PS,Child_age,Response
3/17/25 9:56,3/17/25 10:01,IP Address,100,269,True,3/17/25 10:01,R_1FkY4MLGzwlXRAN,anonymous,EN,1,,0,10,,Agree,Female,January,14,2012,,,,,,,White,,,Some college,High school degree or equivalent,"$25,000 through $34,999",English,IN,Yes,iPhone,No,,No,,7 days,1.5 hours or less,,don't know,no,None at all,None at all,A little,A lot,A little,none,Agree,Qual32042-1126-Children8to13[AD]_Parent_New,,,,anonymous,.70,10,USA,220,,5RXEkxgVFUpfpKCU6nH922,36661704,1449,,Complete
3/17/25 9:56,3/17/25 10:12,IP Address,100,933,True,3/17/25 10:12,R_9FKsNPmBq7jauw0,anonymous,EN,1,,0,0,,Agree,Male,September,9,2018,,,,,,,White,,,"Bachelor's degree (e.g. BA, BS)",Some college,"$100,000 or greater",oceanside,ca,No,Android tablet,Yes,Yes,Yes,viewing,3 days,1.5 hours or less,,spiderman,he tries to act like spiderman,A moderate amount,A lot,A lot,A lot,A lot,"encountered inappropriate or age-inappropriate material, including violence and stereotyping",Agree,Qual32042-1126-Children8to13[AD]_Parent_New,,,,anonymous,.70,10,USA,220,,7G6byDKay1rqUOZDzJ2Fcc,36661704,1449,,Complete
3/17/25 10:18,3/17/25 10:23,IP Address,100,323,True,3/17/25 10:23,R_6rGFqN2WgzXDsTY,anonymous,EN,1,,0,0,,Agree,Female,April,17,2015,,,,,,,White,,,"Bachelor's degree (e.g. BA, BS)","Master's degree (e.g. MA, MS)","$75,000 through $99,999",Nashville,Tennessee,Yes,Android phone,Yes,Yes,No,,7 days,1.5 hours or less,,Barbie ,more active mood,A lot,A moderate amount,A moderate amount,A lot,A lot,I haven't seen any content that wouldn't be suitable for a child.,Agree,Qual32042-1126-Children8to13[AD]_Parent_New,,,,anonymous,.70,10,USA,220,,7jPvgsCOtrFewxjG4DifS3,36661704,1449,,Complete
3/17/25 10:27,3/17/25 10:31,IP Address,100,286,True,3/17/25 10:31,R_1ruC471CHB7kZdS,anonymous,EN,1,,0,0,,Agree,Male,March,17,2014,,,,,,,White,,,High school degree or equivalent,High school degree or equivalent,"$16,000 through $24,999",Shenandoah,PA,Yes,Android tablet,Yes,Yes,Yes,a time limit,7 days,More than 2 hours,,stokes twins,sometimes he can become a bit fiesty and remabntcious after watching certain videos,A lot,A moderate amount,None at all,A lot,A great deal,i think some of the stuff is not appropriate for my childs age,Agree,Qual32042-1126-Children8to13[AD]_Parent_New,,,,anonymous,.70,10,USA,220,,2U4QW1TLikKdksb8nyKUze,36661704,1449,,Complete
3/17/25 10:43,3/17/25 10:47,IP Address,100,206,True,3/17/25 10:47,R_1Lj4jAqWEnOg23f,anonymous,EN,0.899999976,,0,0,,Agree,Female,August,30,2012,,,,Hispanic or Latino/a,,,White,,,High school degree or equivalent,Less than high school,"$5,000 through $11,999",Umatilla ,Oregon,Yes,Android phone,No,No,No,,7 days,More than 2 hours,,Music,No,A great deal,A lot,A lot,A lot,A lot,No,Agree,Qual32042-1126-Children8to13[AD]_Parent_New,,,,anonymous,.70,10,USA,220,,1ti4cTeJS5DE0w3GYnx3Ia,36661704,1449,,Complete
3/17/25 10:42,3/17/25 10:48,IP Address,100,303,True,3/17/25 10:48,R_6rAlfJVqowCqhxY,anonymous,EN,1,,0,0,,Agree,Female,August,14,2011,,,,,,,White,,,"Bachelor's degree (e.g. BA, BS)","Bachelor's degree (e.g. BA, BS)","$75,000 through $99,999","hartington, ne",Nebraska,No,Some other device,Yes,Yes,Yes,i feel cool,7 days,15 minutes or less,,life,great,A great deal,A lot,A lot,A lot,A great deal,i have never saw this before,Agree,Qual32042-1126-Children8to13[AD]_Parent_New,,,,anonymous,.70,10,USA,220,,1SAgl8mZPpuL1XhCCIx1wx,36661704,1449,,Complete
3/17/25 11:00,3/17/25 11:08,IP Address,100,504,True,3/17/25 11:08,R_3Vmty9SebfCbGTZ,anonymous,EN,0.899999976,,0,0,,Agree,Female,April,11,2012,,,,,,,White,,,High school degree or equivalent,High school degree or equivalent,"$25,000 through $34,999",Douglassville ,Pa,Yes,iPad tablet,Yes,Yes,Yes,Parental control ,7 days,2 hours or less,,John smith,He acts happier ,A great deal,A great deal,A great deal,A lot,A great deal,Yes he’s learning ,Agree,Qual32042-1126-Children8to13[AD]_Parent_New,,,,anonymous,.70,10,USA,220,,2iuKI86nunNY14iV0xcaIP,36661704,1449,,Complete
3/17/25 10:57,3/17/25 11:10,IP Address,100,810,True,3/17/25 11:10,R_64vYH522wgcfdV6,anonymous,EN,0.899999976,,0,0,,Agree,Female,April,19,2016,,,,,,,White,,,"Master's degree (e.g. MA, MS)","Bachelor's degree (e.g. BA, BS)","$100,000 or greater",Orlando,Florida,Yes,iPad tablet,No,No,No,Contorl,5 days,45 minutes or less,,PBs,it is a great impact,A great deal,A great deal,A lot,A lot,A great deal,no conerns,Agree,Qual32042-1126-Children8to13[AD]_Parent_New,,,,anonymous,.70,10,USA,220,,6IEgH3fRxBHzy9zN6cX9UY,36661704,1449,,Complete
3/17/25 11:17,3/17/25 11:20,IP Address,100,166,True,3/17/25 11:20,R_1G9z0gOk2DpCwWf,anonymous,EN,0.899999976,,0,0,,Agree,Female,February,16,2011,,,Black or African American,,,,,,,High school degree or equivalent,High school degree or equivalent,"$25,000 through $34,999",Houston,Texas,Yes,iPad tablet,Yes,No,No,,7 days,More than 2 hours,,Kai Cenat ,She's more relaxed ,A great deal,A great deal,A great deal,A lot,A great deal,No,Agree,Qual32042-1126-Children8to13[AD]_Parent_New,,,,anonymous,.70,10,USA,220,,7t7REJIlln5x1NKF0gIlJF,36661704,1449,,Complete
