Pfinished,PID,gender,bday,race-ethnicity,P1ed,P2ed,income,city,state,device,device-type,account1,Ptime,time-photo_Id,time-photo_Name,time-photo_Size,time-photo_Type,account2,ytkids,subs,controls,controls-type,history-photo_Id,history-photo_Name,history-photo_Size,history-photo_Type,Q14,ytopinions_1,ytopinions_2,ytopinions_3,ytopinions_4,ytopinions_5,concerns,Pconsent-child,Duration (in seconds),Cfinished,days,Ctime,genre,genre_8_TEXT,malleable_1,malleable_2,malleable_3,malleable_4,favorite,homophily-appear_1,homophily-appear_2,homophily-appear_3,homophily-appear_4,homophily-appear_5,homophily-behave_1,homophily-behave_2,homophily-behave_3,homophily-behave_4,homophily-behave_6,parasocial_1,parasocial_2,parasocial_3,parasocial_4,parasocial_5,outgroup-freq,outgroup-simple,behavior_1,behavior_2,behavior_3,behavior_4,behavior_5,behavior_6,behavior_7,friend,age,malleable_score,h_appear_score,h_behave_score,parasocial_score,composite,regularity_score
True,2,Male,2018-11-21,White,"Bachelor's degree (e.g. BA, BS)",Some college,"$12,000 through $15,999",Chicago,IL,Yes,iPad tablet,No,120,NA,NA,NA,NA,No,NA,NA,No,NA,NA,NA,NA,NA,They seem quite distracted at meal times.,A moderate amount,A little,A little,A lot,A moderate amount,I have not experienced those concerns.,Agree,288,True,Every day,About 1 and 1/2 hours a day,Other,Gaming,2,4,2,2,MrBeast!,3,3,4,3,2,3,4,0,3,4,0,4,4,4,4,3,More people who DO have the same skin color as me,3,2,2,2,1,3,2,Kid 6,6.265753424657534,0.5,0.75,0.7,0.8,0.75,0.42857142857142855
True,4,Female,2020-10-17,Hispanic or Latino/a,"Bachelor's degree (e.g. BA, BS)","Bachelor's degree (e.g. BA, BS)","$50,000 through $74,999",Atlanta,Georgia,Yes,iPad tablet,No,30,F_1ONXW2AO8wIgZNW,youtube%20.png,124389,image/png,No,NA,"Ms Rachel, Masha and the Bear, Cocomelon",No,NA,NA,NA,NA,NA,I am surprise that without any parental controls my kid has stayed in the kids videos. There is no history of other videos that were not child appropriate. My child does however spend a lot more time watching Cocomelon more than any other channel,A moderate amount,A moderate amount,A lot,A lot,A little,NA,Agree,394,True,1 to 2 days a week,About 1 hour a day,Instructional/do-it-yourself (DIY),NA,1,1,1,1,Karina Garcia,3,3,3,0,3,0,1,0,0,0,0,0,0,3,0,3,More people who DO NOT have the same skin color as me,3,3,3,4,3,3,2,Kid 1,4.3638071711954485,0.2,0.6,0.05,0.15,0.26666666666666666,0.6
True,6,Male,2011-07-11,"Hispanic or Latino/a,White","Bachelor's degree (e.g. BA, BS)","Bachelor's degree (e.g. BA, BS)","$100,000 or greater",New York,NY,Yes,iPad tablet,Yes,20,NA,NA,NA,NA,Yes,Yes,NA,Yes,Approved Content,NA,NA,NA,NA,They watch gaming videos but don't want to play the actual games. My kid is focused on their iPad often.,A moderate amount,A moderate amount,A moderate amount,A lot,A little,I don't like Joe Rogan or Andrew Tate.,Agree,31918,True,3 to 4 days a week,About 30 minutes a day,Other,Gaming,1,1,1,1,Zoella,4,4,4,2,3,3,3,3,3,3,3,3,3,3,3,3,More people who DO have the same skin color as me,1,1,1,1,1,3,2,Kid 7,13.63013698630137,0.2,0.85,0.75,0.75,0.7833333333333333,0.2857142857142857
True,8,Male,2003-12-31,"Middle Eastern or North African,White",Some college,Doctoral Degree,"$100,000 or greater",Chicago,IL,Yes,iPad tablet,Yes,480,NA,NA,NA,NA,Yes,No,"PewDiePie, CNN, and Ben Shapiro",No,Qustodio,NA,NA,NA,NA,Has become very politically inclined for a 5 year old,A little,None at all,A great deal,A lot,A little,Yes. Ben Shapiro uses stereotypes,Agree,330,True,3 to 4 days a week,About 1 hour a day,Other,Clips from TV,3,3,3,3,ContraPoints,2,2,4,3,2,4,4,0,0,0,4,4,4,4,4,4,More people who DO have the same skin color as me,2,2,2,4,2,3,2,Kid 10,21.156164383561645,0.6,0.65,0.4,1,0.6833333333333333,0.4857142857142857
True,9,Male,2018-10-11,"Hispanic or Latino/a,White",Some college,"Bachelor's degree (e.g. BA, BS)","$75,000 through $99,999",Chicago,Illinois,Yes,Mobile phone,Yes,30,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,he seems a little distracted,A lot,A little,A little,A lot,A moderate amount,no,Agree,1802,True,1 to 2 days a week,About 30 minutes a day,Makeup/Fashion,NA,3,2,2,2,Mr. Beast,2,2,0,2,3,2,3,3,3,0,3,3,3,4,3,4,More people who DO have the same skin color as me,2,2,3,3,3,4,2,Kid 6,6.3780821917808215,0.45,0.45,0.55,0.8,0.6,0.5428571428571428
True,10,Female,2015-03-14,Asian,"Master's degree (e.g. MA, MS)",High school degree or equivalent,"$75,000 through $99,999",El Paso,TX,Yes,iPad tablet,Yes,240,NA,NA,NA,NA,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,A moderate amount,A little,A moderate amount,A lot,A moderate amount,NA,Agree,239,True,3 to 4 days a week,More than 2 hours,Other,Gaming,4,4,2,4,Ruben Sim,2,2,0,3,2,3,4,4,3,4,3,4,0,3,4,3,More people who DO NOT have the same skin color as me,3,4,4,4,3,5,3,Kid 4,9.956164383561644,0.7,0.45,0.9,0.7,0.6833333333333333,0.7428571428571429
True,11,Male,2013-03-02,White,Doctoral degree,"Bachelor's degree (e.g. BA, BS)","$100,000 or greater",Durham,NC,Yes,Mobile phone,Yes,120,NA,NA,NA,NA,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,None at all,A little,A moderate amount,A lot,A moderate amount,NA,Agree,169,True,1 to 2 days a week,About 1 and 1/2 hours a day,Sports,NA,2,3,4,4,Mr. Beast,3,3,4,2,3,3,3,3,3,0,0,3,2,3,0,2,More people who DO have the same skin color as me,4,4,3,4,3,5,3,Kid 6,11.98904109589041,0.65,0.75,0.6,0.4,0.5833333333333334,0.7428571428571429
True,12,Female,2016-12-03,White,High school degree or equivalent,"Bachelor's degree (e.g. BA, BS)","$50,000 through $74,999",Houston,TX,Yes,iPad tablet,Yes,180,NA,NA,NA,NA,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,None at all,None at all,A lot,A lot,A lot,NA,Agree,195,True,5 to 6 days a week,More than 2 hours,Makeup/Fashion,NA,5,5,5,5,Kathleen Lights,4,4,4,2,2,2,2,0,2,3,0,3,0,3,2,1,More people who DO have the same skin color as me,4,5,4,3,4,5,3,Kid 2,8.235391870649,1,0.8,0.45,0.4,0.55,0.8
True,13,Male,2014-02-18,Hispanic or Latino/a,"Master's degree (e.g. MA, MS)","Bachelor's degree (e.g. BA, BS)","$100,000 or greater",St. Petersburg,FL,Yes,Mobile phone,Yes,30,NA,NA,NA,NA,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,A little,A little,A moderate amount,A lot,None at all,NA,Agree,235,True,3 to 4 days a week,About 30 minutes a day,Educational,NA,1,1,1,1,Aumsum's Science,0,0,0,0,0,3,4,0,0,0,3,0,0,3,4,4,More people who DO NOT have the same skin color as me,3,2,3,4,2,5,3,Kid 7,11.021917808219179,0.2,0,0.35,0.5,0.2833333333333333,0.6285714285714286
True,14,Female,2012-12-04,White,High school degree or equivalent,"Bachelor's degree (e.g. BA, BS)","$75,000 through $99,999",Newark,NJ,Yes,Mobile phone,Yes,20,NA,NA,NA,NA,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,None at all,None at all,None at all,A lot,A moderate amount,NA,Agree,292,True,1 to 2 days a week,About 15 minutes a day,Other,True crime,1,1,1,4,Rotten Mango,1,1,1,3,2,3,0,0,3,4,3,4,0,3,3,4,More people who DO NOT have the same skin color as me,1,1,2,2,1,2,3,Kid 4,12.232659630211842,0.35,0.4,0.5,0.65,0.5166666666666667,0.34285714285714286
True,15,Male,2015-01-21,Asian,Doctoral degree,Other,"$100,000 or greater",Fresno,CA,Yes,Android tablet,Yes,0,NA,NA,NA,NA,No,NA,NA,No,NA,NA,NA,NA,NA,NA,None at all,None at all,None at all,A lot,None at all,NA,Agree,304,True,Never,NA,Other,none,4,4,4,5,don't have one,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,I don't know,3,3,3,3,3,3,3,Kid 2,10.098630136986301,0.85,0,0,0,0,0.6
True,16,Female,2016-09-24,Middle Eastern or North African,High school degree or equivalent,"Bachelor's degree (e.g. BA, BS)","$50,000 through $74,999",Tampa,FL,Yes,iPad tablet,Yes,60,NA,NA,NA,NA,No,No,NA,No,NA,NA,NA,NA,NA,NA,A little,None at all,A lot,A lot,A lot,NA,Agree,456,True,Every day,About 1 hour a day,Makeup/Fashion,NA,4,4,2,4,Emma Chamberlain,2,1,2,3,2,3,4,2,3,4,3,4,3,3,4,4,More people who DO NOT have the same skin color as me,4,2,3,2,2,4,3,Kid 9,8.426648701250093,0.7,0.5,0.8,0.85,0.7166666666666667,0.5714285714285714
True,17,Male,2012-05-10,Black or African American,"Bachelor's degree (e.g. BA, BS)","Master's degree (e.g. MA, MS)","$100,000 or greater",Madison,WI,Yes,Mobile phone,Yes,45,NA,NA,NA,NA,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,A little,A lot,A lot,A lot,A little,NA,Agree,539,True,1 to 2 days a week,About 45 minutes a day,Other,Gaming,2,3,1,1,Total gaming,2,2,2,3,2,4,3,3,3,4,4,4,4,4,3,4,More people who DO NOT have the same skin color as me,3,2,2,2,4,3,3,Kid 10,12.800965641140804,0.35,0.55,0.85,0.95,0.7833333333333333,0.5428571428571428
True,21,Female,2017-02-06,"Asian,White",Doctoral degree,"Master's degree (e.g. MA, MS)","$100,000 or greater",New York City,NY,No,Some other device,No,60,F_vk2clRTFiAxpSF3,Screenshot 2025-02-25 at 12.01.45 PM.png,73321,image/png,No,NA,NA,No,NA,F_1P2h7ietasX7jqr,Screenshot 2025-02-25 at 12.01.45 PM.png,73321,image/png,After watching mr. beast he likes to torture small animals in the park,A little,A lot,A moderate amount,A lot,A moderate amount,"No, I love exposing my child to stereotypes and violence",Agree,309,True,5 to 6 days a week,About 45 minutes a day,Educational,NA,5,5,5,5,Goebbels,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,More people who DO have the same skin color as me,5,5,5,5,5,5,5,Kid 9,8.054794520547945,1,1,1,1,1,1
True,18,Male,2015-08-24,Hispanic or Latino/a,High school degree or equivalent,"Bachelor's degree (e.g. BA, BS)","$75,000 through $99,999",Memphis,TN,Yes,iPad tablet,Yes,120,NA,NA,NA,NA,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,A little,None at all,A moderate amount,A lot,A moderate amount,NA,Agree,447,True,1 to 2 days a week,About 1 and 1/2 hours a day,Other,debates,5,5,5,5,Jubilee,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,More people who DO have the same skin color as me,5,5,4,5,5,5,5,Kid 3,9.509589041095891,1,0,0.2,0,0.06666666666666667,0.9714285714285714
True,19,Female,2016-03-29,White,High school degree or equivalent,High school degree or equivalent,"$35,000 through $49,999",Minneapolis,MN,Yes,iPad tablet,Yes,150,NA,NA,NA,NA,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,None at all,None at all,None at all,A lot,A moderate amount,NA,Agree,416,True,Every day,More than 2 hours,Other,Gaming,3,4,3,3,Pewdiepie,3,3,4,2,2,4,3,2,3,3,3,3,2,3,4,1,More people who DO have the same skin color as me,4,3,3,4,4,4,3,Kid 8,8.91571973950146,0.65,0.7,0.75,0.75,0.7333333333333333,0.7142857142857143
True,20,Male,2016-10-16,Black or African American,High school degree or equivalent,"Bachelor's degree (e.g. BA, BS)","$75,000 through $99,999",Boston,MA,Yes,Android tablet,Yes,20,NA,NA,NA,NA,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,A lot,A moderate amount,A little,A lot,A moderate amount,NA,Agree,489,True,1 to 2 days a week,About 15 minutes a day,Other,Gaming,3,4,3,3,Prestonplayz,2,2,2,0,1,3,3,0,3,4,3,3,2,4,3,5,More people who DO NOT have the same skin color as me,4,3,3,4,2,4,2,Kid 6,8.366539411632607,0.65,0.35,0.65,0.75,0.5833333333333334,0.6285714285714286
