StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,Pconsent_self,gender,bday,race_ethnicity,P1ed,P2ed,income,city,state,device,device-type,account,ytkids,controls,controls_type,Ptime,time_photo_Id,time_photo_Name,time_photo_Size,time_photo_Type,subs,history_photo_Id,history_photo_Name,history_photo_Size,history_photo_Type,observations,yt_opinions_1,yt_opinions_2,yt_opinions_3,yt_opinions_4,yt_opinions_5,concerns,Pconsent-child,opp,gc,term,Q_BallotBoxStuffing,Q_CHL,expected_ir,expected_loi,Country,expected_n,tg,transaction_id,SVID,PS,Child_age,Response
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,"Consent to Participate in Research

I have read this form and the research study has been explained to me. I have been given the opportunity to ask questions and my questions have been answered. If I have additional questions, I have been told whom to contact. I give my consent to participate in the research study described above.",Child's Gender Identity,Child's Birthday (mm/dd/yyyy),What is your child's race/ethnicity? (Please select any and all that apply),[Parent 1] What is the highest degree or level of education you have completed?,[Parent 2] What is the highest degree or level of education you have completed?,"Which of these categories best describes your total combined family income for the past 12 months?


This should include income (before taxes) from all sources, wages, rent from properties, social security, disability and/or veteran's benefits, unemployment benefits, workman's compensation, help from relatives (including child payments and alimony), and so on.","Where is your family located (City, eg: Chicago)?","Where is your family located (State, eg: NJ)?",Does your child have their own device?,What is the primary device with which your child accesses YouTube?,Does your child have their own YouTube account?,"If YES to previous question, is your child's account a YouTube Kids account?",Are there parental controls on your child's YouTube account?,"If YES to the previous question, what controls?","On an average day, how much time do you estimate your child spends on YouTube in terms of total minutes (ex: 90)?",Upload a screenshot of your child's YouTube screen time for last week's usage. See above for an example of an appropriate screen shot (the bar graph should be included). - Id,Upload a screenshot of your child's YouTube screen time for last week's usage. See above for an example of an appropriate screen shot (the bar graph should be included). - Name,Upload a screenshot of your child's YouTube screen time for last week's usage. See above for an example of an appropriate screen shot (the bar graph should be included). - Size,Upload a screenshot of your child's YouTube screen time for last week's usage. See above for an example of an appropriate screen shot (the bar graph should be included). - Type,"If your child only uses YouTube Kids, skip this question.



List the first 10 YouTube channels to which your child is subscribed (if less, as many as there are). List the accounts as ""Name, Name, Name"".



To access subscriptions: First, open the YouTube app. On a mobile device, click on ""Subscriptions,"" which will appear at the bottom of the screen. After this, the channels to which the account is subscribed will appear at the top of the screen. Click ""All,"" and you should find all channels (sorted by ""Most Relevant""). See sample screenshot below.







List first 10 YouTube channels below.","Upload a screenshot of your child's most recent YouTube watch history.



To access watch history: On YouTube Kids, this may be accessed by clicking on the account profile picture. On the regular YouTube interface, this may be accessed by clicking the account profile picture, then clicking ""View all"" (which appears alongside the ""History"" heading). See sample screenshot below. - Id","Upload a screenshot of your child's most recent YouTube watch history.



To access watch history: On YouTube Kids, this may be accessed by clicking on the account profile picture. On the regular YouTube interface, this may be accessed by clicking the account profile picture, then clicking ""View all"" (which appears alongside the ""History"" heading). See sample screenshot below. - Name","Upload a screenshot of your child's most recent YouTube watch history.



To access watch history: On YouTube Kids, this may be accessed by clicking on the account profile picture. On the regular YouTube interface, this may be accessed by clicking the account profile picture, then clicking ""View all"" (which appears alongside the ""History"" heading). See sample screenshot below. - Size","Upload a screenshot of your child's most recent YouTube watch history.



To access watch history: On YouTube Kids, this may be accessed by clicking on the account profile picture. On the regular YouTube interface, this may be accessed by clicking the account profile picture, then clicking ""View all"" (which appears alongside the ""History"" heading). See sample screenshot below. - Type",What do you notice about your child's behavior after spending time on YouTube? Is there anything you're concerned about? Is there anything that has surprised you?,"Use the scale to indicate how much you agree with the following statements: - I know what kind of content is popular on YouTube (e.g. particular creators, genres, videos, etc.)",Use the scale to indicate how much you agree with the following statements: - I am very involved in my child's YouTube usage.,Use the scale to indicate how much you agree with the following statements: - My child is learning a lot from educational information they have found on YouTube.,"Use the scale to indicate how much you agree with the following statements: - This is an attention check. Choose ""A lot.""",Use the scale to indicate how much you agree with the following statements: - I have positive feelings regarding YouTube and YouTube content.,"Some parents report concerns about the content they have observed on YouTube (such as stereotypes, violence, swearing, etc.). Have you experienced these concerns? If you can remember examples (of channels or videos), please describe them below.","Parental Permission for Child’s Participation in Research:
I have read this form and the research study has been explained to me. I have been given the opportunity to ask questions and my questions have been answered. If I have additional questions, I have been told whom to contact. I give permission for my child to participate in the research study described above.",opp,gc,term,Q_BallotBoxStuffing,Q_CHL,expected_ir,expected_loi,Country,expected_n,tg,transaction_id,SVID,PS,Child_age,Response
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""Q_RelevantIDDuplicate""}","{""ImportId"":""Q_RelevantIDDuplicateScore""}","{""ImportId"":""Q_RelevantIDFraudScore""}","{""ImportId"":""Q_RelevantIDLastStartDate"",""timeZone"":""UTC""}","{""ImportId"":""QID27""}","{""ImportId"":""QID2""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID18""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20_TEXT""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID30""}","{""ImportId"":""QID9""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID7_FILE_ID""}","{""ImportId"":""QID7_FILE_NAME""}","{""ImportId"":""QID7_FILE_SIZE""}","{""ImportId"":""QID7_FILE_TYPE""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID13_FILE_ID""}","{""ImportId"":""QID13_FILE_NAME""}","{""ImportId"":""QID13_FILE_SIZE""}","{""ImportId"":""QID13_FILE_TYPE""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID15_2""}","{""ImportId"":""QID15_3""}","{""ImportId"":""QID15_4""}","{""ImportId"":""QID15_5""}","{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID23""}","{""ImportId"":""opp""}","{""ImportId"":""gc""}","{""ImportId"":""term""}","{""ImportId"":""Q_BallotBoxStuffing""}","{""ImportId"":""Q_CHL""}","{""ImportId"":""expected_ir""}","{""ImportId"":""expected_loi""}","{""ImportId"":""Country""}","{""ImportId"":""expected_n""}","{""ImportId"":""tg""}","{""ImportId"":""transaction_id""}","{""ImportId"":""SVID""}","{""ImportId"":""PS""}","{""ImportId"":""Child_age""}","{""ImportId"":""Response""}"
2025-02-28 14:55:37,2025-02-28 15:02:28,Survey Preview,,100,411,True,2025-02-28 15:02:29,R_4LzIB5Zp7c95E98,,,,,22.5643,88.3693,preview,EN,,,,,,Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A lot,,,Agree,Qual32042-1126-Children8to13[AD]_Parent,,,,preview,.70,10,USA,220,,,,,,Complete
2025-02-28 15:21:10,2025-02-28 15:21:54,Survey Preview,,100,43,True,2025-02-28 15:21:54,R_4P9VCDBlK0l2lcl,,,,,,,preview,EN,1,,0,5,,Agree,Male,21/09/1996,Asian,Some college,"Bachelor's degree (e.g. BA, BS)","$16,000 through $24,999",Chicago,New York,,,,,,,,,,,,,,,,,,,,,,,,,Qual32042-1126-Children8to13[AD]_Parent,2,Child age,,preview,.70,10,USA,220,1,,,,21/09/1996,
2025-02-28 15:21:10,2025-02-28 15:23:00,Survey Preview,,100,110,True,2025-02-28 15:23:01,R_4VoKckrWghN2E0h,,,,,,,preview,EN,1,true,100,5,2025-02-28 22:21:21,Agree,Female,21/09/2008,Black or African American,"Bachelor's degree (e.g. BA, BS)","Master's degree (e.g. MA, MS)","$16,000 through $24,999",Texas,New York,,,,,,,,,,,,,,,,,,,,,,,,,Qual32042-1126-Children8to13[AD]_Parent,2,Child age,,preview,.70,10,USA,220,1,,,,21/09/2008,
2025-02-28 15:33:26,2025-02-28 15:35:35,IP Address,115.187.37.186,100,128,True,2025-02-28 15:35:35,R_9fri8syJm05IZTa,,,,,22.5643,88.3693,anonymous,EN,0.6000000238418579,true,90,5,2025-02-28 22:31:05,Agree,Male,21/09/2008,Hispanic or Latino/a,"Master's degree (e.g. MA, MS)",Doctoral Degree,"$12,000 through $15,999",Chicago,Illinois,Yes,Android phone,Yes,Yes,Yes,qwerty,37,,,,,,,,,,qwert,A lot,A lot,A lot,A lot,A moderate amount,asdfgh,Agree,Qual32042-1126-Children8to13[AD]_Parent,,,,anonymous,.70,10,USA,220,,1234Test,,{Invalid Expression},21/09/2008,Complete
2025-03-02 19:04:44,2025-03-02 19:06:34,Survey Preview,,100,110,True,2025-03-02 19:06:35,R_6avk3CaOFyD85Cp,,,,,,,preview,EN,0.8999999761581421,,0,5,,Agree,Female,05/21/2017,"Asian,White","Bachelor's degree (e.g. BA, BS)","Master's degree (e.g. MA, MS)","$100,000 or greater",New York City,NY,Yes,iPhone,Yes,No,,,30,,,,,"name, name, name",,,,,,None at all,None at all,None at all,None at all,None at all,,,Qual32042-1126-Children8to13[AD]_Parent,2,Attention Check,,preview,.70,10,USA,220,2,,,,05/21/2017,
2025-03-02 19:06:42,2025-03-02 19:07:40,Survey Preview,,100,58,True,2025-03-02 19:07:41,R_632ZvIsLHxLLiat,,,,,41.7821,-87.6046,preview,EN,0.8999999761581421,true,100,5,2025-03-03 02:04:53,Agree,Other,05/21/2008,Asian,"Bachelor's degree (e.g. BA, BS)",Doctoral Degree,"$75,000 through $99,999",Chicago,IL,Yes,iPad tablet,Yes,No,No,,90,,,,,,,,,,,None at all,None at all,None at all,A lot,None at all,,Agree,Qual32042-1126-Children8to13[AD]_Parent,,,,preview,.70,10,USA,220,,,,,05/21/2008,Complete
2025-03-03 09:30:57,2025-03-03 09:34:28,IP Address,107.197.236.71,100,211,True,2025-03-03 09:34:29,R_7sbPPGfc0fP49Pm,,,,,36.1515,-86.792,anonymous,EN,0.8999999761581421,,0,0,,Agree,Male,03/3/2008,White,"Master's degree (e.g. MA, MS)","Master's degree (e.g. MA, MS)","$100,000 or greater",luseaina,la,No,Android phone,Yes,,Yes,it was an very good i like it lot of ti,56,,,,,"craturs,mr best,amratu",,,,,yes it was an very good i like it lot of it,A great deal,A lot,A moderate amount,A lot,A great deal,"i love this content ",Agree,Qual32042-1126-Children8to13[AD]_Parent,,,,anonymous,.70,10,USA,220,,04FD1UM2RE3hJ19MXpNzjI,36661704,1449,03/3/2008,Complete
2025-03-03 09:43:17,2025-03-03 09:47:04,IP Address,108.21.150.2,100,226,True,2025-03-03 09:47:04,R_7Sk2uwUVv3BOUg9,,,,,40.6002,-74.1469,anonymous,EN,1,,0,0,,Agree,Female,01/01/2016,White,"Bachelor's degree (e.g. BA, BS)","Bachelor's degree (e.g. BA, BS)","$100,000 or greater",new york,ny,Yes,Android tablet,Yes,,No,,30,,,,,kids,,,,,smarter,A great deal,A great deal,A moderate amount,A lot,A lot,,Agree,Qual32042-1126-Children8to13[AD]_Parent,,,,anonymous,.70,10,USA,220,,1RZWfx9DHwGm0qutGCchhs,36661704,1449,01/01/2016,Complete
